date,open,high,low,close,volume,Name,range,JimDeMint Vader Sentiment Score
2017-02-14,227.2269,228.3505,226.8361,228.3408,71108983,SPY,1.5144000000000233,0.0
2017-02-10,225.7027,226.455,225.333,226.201,66015892,SPY,1.122000000000014,-0.3182
2017-02-09,224.2957,225.6538,224.2566,225.3119,65955245,SPY,1.397199999999998,0.35845
2017-02-08,223.3675,224.1296,223.0744,223.983,51566218,SPY,1.0552000000000135,0.21763749999999998
2017-02-07,224.1198,224.3891,223.475,223.6899,57931151,SPY,0.914100000000019,0.303625
2017-02-06,223.6215,224.0671,223.2991,223.6802,57790108,SPY,0.7680000000000007,-0.1027
2017-02-03,223.5727,224.2859,223.2209,224.0807,80563168,SPY,1.0649999999999977,0.012583333333333327
2017-02-02,221.9898,222.8692,221.6185,222.5468,69657560,SPY,1.2506999999999948,0.3508833333333334
2017-02-01,223.0206,223.3479,221.7358,222.4002,79117651,SPY,1.612099999999998,0.26787500000000003
2017-01-31,221.7749,222.3807,221.13,222.3123,75880805,SPY,1.2506999999999948,0.42136000000000007
2017-01-27,224.1589,224.325,223.5141,223.7192,59695224,SPY,0.8108999999999753,0.0
2017-01-26,224.1394,224.4423,223.7583,224.071,59970719,SPY,0.6839999999999975,-0.007300000000000015
2017-01-25,223.4554,224.3055,223.2698,224.3055,84437712,SPY,1.0356999999999914,0.5783333333333333
2017-01-24,221.2082,222.8496,221.0812,222.3807,95555295,SPY,1.768400000000014,0.29846666666666666
2017-01-23,221.1593,221.6039,220.1041,220.9639,75061645,SPY,1.4998000000000218,-0.03813333333333335
2017-01-20,221.5013,222.0973,220.7899,221.5404,129168623,SPY,1.3074000000000012,0.28935
2017-01-19,221.6381,221.7944,220.2409,220.7294,66608787,SPY,1.5534999999999854,0.34276
2017-01-18,221.3401,221.599,220.7196,221.5501,54793302,SPY,0.8793999999999755,0.35683333333333334
2017-01-17,221.1202,221.5795,220.6219,221.0616,61240814,SPY,0.9575999999999851,0.296
2017-01-13,221.5306,222.1852,221.4915,221.8433,62717865,SPY,0.6937000000000069,0.36443333333333333
2017-01-12,221.3059,221.5501,219.7963,221.3352,72113181,SPY,1.753799999999984,-0.11393333333333333
2017-01-11,221.1691,221.8921,220.4167,221.8921,74650016,SPY,1.4754000000000076,0.09943333333333333
2017-01-10,221.2863,222.2341,220.8271,221.2668,63771939,SPY,1.4070000000000107,0.003500000000000003
2017-01-09,221.7065,221.8629,221.2241,221.2668,46939676,SPY,0.6388000000000034,0.6597
2017-01-06,221.3352,222.5272,220.7196,221.9996,71559922,SPY,1.8075999999999794,0.3592
2017-01-05,221.0812,221.384,220.3093,221.2082,78379012,SPY,1.0746999999999787,0.49612
2017-01-04,220.4461,221.5501,220.4363,221.384,78744433,SPY,1.1137999999999977,0.06213333333333334
2017-01-03,219.8794,220.6512,218.7496,220.0748,91366522,SPY,1.901600000000002,0.021066666666666678
2016-12-30,219.5765,219.6742,217.6223,218.404,108998328,SPY,2.0519000000000176,0.0
